Question,Answer,Link,Hint1,Hint2,Hint3,Hint4,Hint5,Rank1,Rank2,Rank3,Rank4,Rank5
Which city is the capital of Victoria?,Melbourne,https://en.wikipedia.org/wiki/Melbourne,"It is the second-most populous city in Australia, after Sydney",It is in the southeastern part of mainland Australia,It extends along the Yarra River towards the Yarra Valley and the Dandenong Ranges to the east.,It time zone is AEST (UTC +10),It has 23 federal division,1,2,3,4,5
Identify the TV series where the character Barney Stinson is known for his catchphrase 'Legendary!',How I Met Your Mother,https://en.wikipedia.org/wiki/How_I_Met_Your_Mother,"It is an American sitcom, created by Craig Thomas and Carter Bays for CBS","The series, which aired from September 19, 2005 to March 31, 2014, follows the main character, Ted Mosby, and his group of friends in New York City's Manhattan.","It was a joint production by Bays & Thomas Productions and 20th Century Fox Television, and syndicated by 20th Television",The series was loosely inspired by Thomas and Bays' friendship when they both lived in New York.,The vast majority of the episodes (196 out of 208) were directed by Pamela Fryman.,1,2,3,4,5
Name the technology entrepreneur who played a key role in the founding and development of Tesla.,Elon Musk,https://en.wikipedia.org/wiki/Elon_Musk,He is an is a businessman and investor,"He is the founder, chairman, CEO and chief technology officer of SpaceX",co-founder of Neuralink and OpenAI,"He was born in Pretoria, South Africa",The startup was acquired by Compaq for $307 million in 1999,5,1,2,3,5
"What Marvel Comics superhero, known for his alter ego Tony Stark, is often referred to as the 'Armored Avenger'?",Iron Man,https://en.wikipedia.org/wiki/Iron_Man,"This character was co-created by writer and editor Stan Lee, developed by scripter Larry Lieber, and designed by artists Don Heck and Jack Kirby. The character first appeared in Tales of Suspense #39 in 1963.",Robert Downey Jr. portrayed this character's alter ego in the first film of the Marvel Cinematic Universe.,"The character inherited his family's business after his parents were killed in a car crash. Developing equipment for the U.S. military, he travels to a war zone to conduct a weapons test when he triggers a booby trap. His heart is critically injured by shrapnel, and he is captured by the communist Wong-Chu, who demands that he build him a weapon. The character instead builds a suit of armor that sustains his heart.",This character is a businessman and an entrepreneur who constantly seeks to innovate and improve his technology. Stan Lee modeled him after businessman Howard Hughes.,"This character was more overtly political than other Marvel characters of the Silver Age. Stan Lee wished to create the ""quintessential capitalist"", developing him as an industrialist who manufactures weapons to fight communism.",5,1,4,3,2
"Identify the cultural phenomenon, often humorous, that spreads rapidly through social media and the internet.",Meme,https://en.wikipedia.org/wiki/Meme,"This is defined as a cultural idea, behavior, or style that spreads rapidly and often humorously through the internet.",This often often has a symbolic meaning representing a particular theme or phenomenon.,"This can be transmitted from one person to another through writing, speech, gestures, rituals, with a mimicked theme.",This concept spreads rapidly from person to person via the internet often on social media.,This is a virtual phenomenon with multiple variations.,1,2,3,4,5
Which group achieved international fame with the release of 'The Number of the Beast' album?,Iron Maiden,https://en.wikipedia.org/wiki/Iron_Maiden,"This group is an English heavy metal band formed in Leyton, East London, in 1975 by bassist and primary songwriter Steve Harris.",Steve Harris attributed the band's name to a film adaptation of The Man in the Iron Mask from the novel by Alexandre Dumas.,"This group recruited another guitarist in 1977, Bob Sawyer, who was sacked for embarrassing the band on stage by pretending to play guitar with his teeth.","Harris, Murray, and Sampson spent the summer and autumn of 1978 rehearsing while they searched for a singer to complete the band's new line-up.","In December 1979, the band secured a major record deal with EMI and asked Dave Murray's childhood friend, Adrian Smith of Urchin, to join the group as their second guitarist.",2,1,3,4,5
Identify the creator of languages such as Elvish and Dwarvis.,Tolkien,https://en.wikipedia.org/wiki/J._R._R._Tolkien,This person is the author of The Lord of the Rings and the Hobbit.,This person served in the British army during World War I.,This person had four children.,This person was bitten by a baboon spider as a child.,This person is considered the father of high fantasy literature.,1,4,3,5,2
"What video game series centers around Link, a hero chosen by the goddesses, as he battles the evil Ganon?",The Legend of Zelda,https://en.wikipedia.org/wiki/The_Legend_of_Zelda,This video game series has a young man wearing green named Link and has a Princess.,This video game series was first released on February 21st 1986 by Nintendo.,This is an action-adventure game franchise created by Shigeru Miyamoto and Takashi Tezuka.,"Although some installments and re-releases have been outsourced to Flagship, Vanpool, and Grezzo it is primarily developed and published by Nintendo.","This game series is a mix of puzzles, action, adventure/battle gameplay, and exploration and has added new features throughout the series.",1,2,3,4,5
Which warriors were known for their loyalty to their lords and strict code of conduct?,Samurai,https://en.wikipedia.org/wiki/Samurai,These warriors were known for their exceptional skill with swords and their code of honor.,"They were an integral part of Japanese history and culture, often depicted in movies and literature.","They wore distinctive armor and helmets, with a topknot hairstyle.","The word comes from the Japanese language and means ""those who serve.""",They served as protectors of their lords and played a significant role in feudal Japan.,1,2,3,4,5
What city has become the centre of business and real estate in Uruguay?,Montevideo,https://en.wikipedia.org/wiki/Montevideo,This is the capital and largest city of Uruguay,This city is located on the southern coast of the country and on the northeastern bank of the Río de la Plata.,"A Spanish soldier, Bruno Mauricio de Zabala, established this city in 1724.",The quality of life in this city is rated first in Latin America and has held that position since 2005.,"This city is the seat of the administrative headquarters of Mercosur and ALADI, Latin America's leading trade blocs.",1,2,3,4,5
